"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg
"Cycling, <10 mph, leisure bicycling",235.1,280.86,326.65,371.2,1.4352639835636
"Cycling, <10 mph, leisure bicycling",235.44,280.3,326.27,372.34,-0.02216620978639
"Cycling, <10 mph, leisure bicycling",236.21,280.66,327.4,371.15,1.08005773853856
"Cycling, <10 mph, leisure bicycling",236.95,280.67,326.18,371.38,0.71944442481918
"Cycling, <10 mph, leisure bicycling",235.45,281.35,327.74,371.25,0.73998933708234
"Cycling, <10 mph, leisure bicycling",235.03,280.28,327.24,371.01,1.52772003297439
"Cycling, <10 mph, leisure bicycling",235.9,281.2,327.02,372.49,1.07016073381231
"Cycling, <10 mph, leisure bicycling",235.86,280.38,327.02,371.71,1.2904298802838
"Cycling, <10 mph, leisure bicycling",236.01,281.58,327.0,372.59,1.24196206539384
"Cycling, <10 mph, leisure bicycling",235.18,281.8,326.88,372.52,-0.00153608960825
"Cycling, <10 mph, leisure bicycling",235.17,281.55,327.41,371.79,-0.07042243295186
"Cycling, <10 mph, leisure bicycling",236.59,281.47,326.98,371.69,0.79159240729484
"Cycling, <10 mph, leisure bicycling",235.66,281.2,326.66,372.74,-0.14824583918297
"Cycling, <10 mph, leisure bicycling",236.88,281.52,326.59,372.5,0.05115216307254
"Cycling, <10 mph, leisure bicycling",236.15,280.8,327.2,371.16,0.73474624180792
"Cycling, <10 mph, leisure bicycling",236.48,280.01,327.48,371.03,0.02741690208662
"Cycling, <10 mph, leisure bicycling",236.31,281.42,326.61,371.65,0.28698018821499
"Cycling, <10 mph, leisure bicycling",235.88,280.38,326.35,372.17,1.75374493755965
"Cycling, <10 mph, leisure bicycling",236.45,280.57,326.43,372.26,1.7106538670954
"Cycling, <10 mph, leisure bicycling",236.58,280.87,327.59,372.19,0.32646204695393
"Cycling, <10 mph, leisure bicycling",235.78,281.85,326.97,372.09,0.04662687576092
"Cycling, <10 mph, leisure bicycling",235.06,281.97,327.58,372.23,1.68105107178672
"Cycling, <10 mph, leisure bicycling",236.82,281.82,326.3,371.49,-0.02859211341866
"Cycling, <10 mph, leisure bicycling",235.22,280.09,326.03,371.96,1.69858049077118
"Cycling, <10 mph, leisure bicycling",236.77,280.14,326.94,371.24,1.72677137245196
"Cycling, <10 mph, leisure bicycling",236.41,281.99,327.65,372.38,1.05422018649162
"Cycling, <10 mph, leisure bicycling",235.28,280.2,327.95,372.18,0.25553465870111
"Cycling, <10 mph, leisure bicycling",236.84,281.18,327.79,371.97,1.20912613567383
"Cycling, <10 mph, leisure bicycling",235.11,280.92,326.86,371.16,0.61880996829723
"Cycling, <10 mph, leisure bicycling",236.39,281.29,327.78,371.87,1.67436081082477
"Cycling, <10 mph, leisure bicycling",236.31,280.61,326.29,372.24,1.56611166745406
"Cycling, <10 mph, leisure bicycling",235.62,280.31,327.29,371.61,1.23319830351095
"Cycling, <10 mph, leisure bicycling",235.17,281.96,327.19,372.1,0.89759943580216
"Cycling, <10 mph, leisure bicycling",235.53,280.34,327.11,372.47,1.58683183543816
"Cycling, <10 mph, leisure bicycling",236.9,280.62,326.38,371.57,0.03575878181078
"Cycling, <10 mph, leisure bicycling",236.46,280.37,327.61,372.82,0.802324656018
"Cycling, <10 mph, leisure bicycling",236.54,280.24,327.53,371.88,1.52363908484742
"Cycling, <10 mph, leisure bicycling",236.14,280.83,327.2,372.85,0.85040740212435
"Cycling, <10 mph, leisure bicycling",236.8,280.09,327.77,371.53,-0.03984904105462
"Cycling, <10 mph, leisure bicycling",236.68,281.16,327.36,371.18,1.38398163963847
"Cycling, <10 mph, leisure bicycling",235.67,281.14,327.27,371.26,1.48441883136001
"Cycling, <10 mph, leisure bicycling",236.82,280.65,326.75,371.55,1.67314521111017
"Cycling, <10 mph, leisure bicycling",235.21,281.35,326.18,371.77,0.43321122221352
"Cycling, <10 mph, leisure bicycling",236.79,281.74,326.6,371.96,0.80231200700427
"Cycling, <10 mph, leisure bicycling",236.4,280.72,327.22,372.56,0.52587931219532
"Cycling, <10 mph, leisure bicycling",236.99,280.49,326.85,371.97,0.37480839383823
"Cycling, <10 mph, leisure bicycling",235.57,280.21,327.48,371.93,0.17412406422763
"Cycling, <10 mph, leisure bicycling",235.21,280.43,326.03,372.69,0.1895277526267
"Cycling, <10 mph, leisure bicycling",236.54,281.21,326.59,372.19,0.86808501592809
"Cycling, <10 mph, leisure bicycling",235.01,280.68,327.81,372.19,0.29003616296406
"Cycling, <10 mph, leisure bicycling",236.36,281.45,327.9,371.82,0.9207398435296
"Cycling, <10 mph, leisure bicycling",236.33,280.48,327.27,372.34,0.46429207540848
"Cycling, <10 mph, leisure bicycling",235.35,280.32,326.02,371.41,1.250541515815
"Cycling, <10 mph, leisure bicycling",235.98,281.8,326.32,372.7,1.56389797693889
"Cycling, <10 mph, leisure bicycling",235.29,280.02,326.86,372.52,0.46747101645856
"Cycling, <10 mph, leisure bicycling",235.44,281.31,327.26,371.68,1.1289640577711
"Cycling, <10 mph, leisure bicycling",236.41,281.53,326.08,371.85,-0.13467103039454
"Cycling, <10 mph, leisure bicycling",236.37,280.95,326.89,372.56,0.05262696209841
"Cycling, <10 mph, leisure bicycling",236.2,281.13,326.29,371.43,-0.02345986214267
"Cycling, <10 mph, leisure bicycling",236.8,280.66,327.5,372.18,1.40827118458453
"Cycling, <10 mph, leisure bicycling",236.65,281.42,326.91,372.8,1.42166447925885
"Cycling, <10 mph, leisure bicycling",236.91,280.14,326.79,372.45,0.35468627027839
"Cycling, <10 mph, leisure bicycling",236.0,280.18,327.09,372.81,1.67921362651555
"Cycling, <10 mph, leisure bicycling",236.16,280.07,327.38,371.16,-0.14592836927
"Cycling, <10 mph, leisure bicycling",236.34,281.4,327.73,371.33,1.47540606589497
"Cycling, <10 mph, leisure bicycling",236.75,280.47,326.52,371.78,0.57850821064971
"Cycling, <10 mph, leisure bicycling",235.26,280.46,327.1,372.27,1.5961921593756
"Cycling, <10 mph, leisure bicycling",235.21,281.83,327.1,371.18,-0.04525084182923
"Cycling, <10 mph, leisure bicycling",236.46,281.97,327.56,371.88,0.18636071653341
"Cycling, <10 mph, leisure bicycling",235.1,281.11,326.5,371.41,-0.1131187941523
"Cycling, <10 mph, leisure bicycling",235.36,281.01,327.75,371.82,0.68294376080424
"Cycling, <10 mph, leisure bicycling",236.36,280.48,326.16,372.44,0.54897188878597
"Cycling, <10 mph, leisure bicycling",235.69,280.54,327.61,372.08,1.66297470662036
"Cycling, <10 mph, leisure bicycling",235.36,281.83,327.59,371.64,1.5761761696585
"Cycling, <10 mph, leisure bicycling",235.1,281.52,327.08,372.97,-0.17234629671753
"Cycling, <10 mph, leisure bicycling",235.15,280.98,327.27,371.69,0.78992620163597
"Cycling, <10 mph, leisure bicycling",236.41,280.91,327.21,372.5,1.52825543960384
"Cycling, <10 mph, leisure bicycling",235.1,280.34,327.28,372.75,1.62925362249989
"Cycling, <10 mph, leisure bicycling",235.95,281.28,326.94,371.95,0.15706253836407
"Cycling, <10 mph, leisure bicycling",235.17,280.47,327.74,372.95,0.35373561526815
"Cycling, <10 mph, leisure bicycling",235.22,281.83,327.63,372.81,1.78869794206178
"Cycling, <10 mph, leisure bicycling",236.97,280.42,327.48,372.67,1.7140132887179
"Cycling, <10 mph, leisure bicycling",236.93,281.45,327.83,372.01,0.82241756799373
"Cycling, <10 mph, leisure bicycling",236.46,281.2,326.41,372.71,1.31503690948805
"Cycling, <10 mph, leisure bicycling",235.1,280.09,326.95,371.69,0.10194873949807
"Cycling, <10 mph, leisure bicycling",236.33,281.35,326.51,371.34,0.16164863636875
"Cycling, <10 mph, leisure bicycling",235.07,281.54,327.84,372.83,0.73349883724165
"Cycling, <10 mph, leisure bicycling",235.19,280.01,326.67,372.48,0.37599510207488
"Cycling, <10 mph, leisure bicycling",236.17,280.54,327.09,371.71,1.27834531977858
"Cycling, <10 mph, leisure bicycling",236.67,280.75,326.75,372.5,1.56483166803855
"Cycling, <10 mph, leisure bicycling",235.87,281.31,326.79,371.95,1.54984792875661
"Cycling, <10 mph, leisure bicycling",236.59,281.38,326.3,372.34,0.59950153840543
"Cycling, <10 mph, leisure bicycling",236.12,280.26,326.32,371.5,0.96016152390212
"Cycling, <10 mph, leisure bicycling",236.9,280.98,327.65,371.06,1.0010583300786
"Cycling, <10 mph, leisure bicycling",235.05,280.17,326.19,371.73,0.30991756561891
"Cycling, <10 mph, leisure bicycling",236.17,280.83,327.11,372.74,0.57899102267667
"Cycling, <10 mph, leisure bicycling",235.03,280.9,326.64,372.6,1.35178536661731
"Cycling, <10 mph, leisure bicycling",236.53,281.86,327.63,372.48,1.31536343036062
"Cycling, <10 mph, leisure bicycling",235.53,280.33,326.38,372.33,0.78938085800051
"Cycling, <10 mph, leisure bicycling",236.82,281.62,326.26,371.96,0.44655906623559
"Cycling, <10 mph, leisure bicycling",236.71,280.2,326.95,372.67,1.80838396929896
"Cycling, <10 mph, leisure bicycling",236.22,281.93,326.75,371.08,1.21917863269477
"Cycling, <10 mph, leisure bicycling",235.87,280.91,327.95,372.67,0.12817983501552
"Cycling, <10 mph, leisure bicycling",235.58,281.74,326.33,371.41,1.26921135548893
"Cycling, <10 mph, leisure bicycling",236.02,280.83,326.16,371.55,1.20585301453421
"Cycling, <10 mph, leisure bicycling",236.95,281.67,326.58,372.07,0.9231240355905
"Cycling, <10 mph, leisure bicycling",235.6,281.5,326.17,371.87,0.48099274355465
"Cycling, <10 mph, leisure bicycling",236.89,280.44,327.52,371.3,1.69972443106854
"Cycling, <10 mph, leisure bicycling",235.08,281.41,326.87,371.82,1.08648389414949
"Cycling, <10 mph, leisure bicycling",236.64,280.55,327.65,372.86,0.46861534444845
"Cycling, <10 mph, leisure bicycling",235.44,280.57,326.82,371.46,0.10081763031393
"Cycling, <10 mph, leisure bicycling",236.02,280.71,326.22,371.91,0.83521270501343
"Cycling, <10 mph, leisure bicycling",235.53,281.46,327.99,371.86,0.03636742410527
"Cycling, <10 mph, leisure bicycling",235.71,281.48,327.23,371.15,1.6174645860188
"Cycling, <10 mph, leisure bicycling",235.74,280.39,326.05,371.7,0.64718394198848
"Cycling, <10 mph, leisure bicycling",235.91,281.18,327.13,372.72,1.30711088593835
"Cycling, <10 mph, leisure bicycling",236.92,280.15,326.91,371.48,1.62596226858764
"Cycling, <10 mph, leisure bicycling",235.52,280.41,327.28,372.02,1.2182145083432
"Cycling, <10 mph, leisure bicycling",236.88,280.14,326.15,371.73,0.90597482678609
"Cycling, <10 mph, leisure bicycling",236.08,280.55,327.32,371.59,0.09200239070287
"Cycling, <10 mph, leisure bicycling",236.92,281.9,326.49,372.93,0.51834518770528
"Cycling, <10 mph, leisure bicycling",236.44,281.54,327.53,371.3,0.03963694324741
"Cycling, <10 mph, leisure bicycling",235.13,281.24,327.71,372.75,1.21257484834902
"Cycling, <10 mph, leisure bicycling",236.93,281.01,326.15,372.49,0.67295286884253
"Cycling, <10 mph, leisure bicycling",235.43,281.24,327.19,372.84,1.73691985035718
"Cycling, <10 mph, leisure bicycling",235.91,281.67,327.62,371.81,0.51451470044004
"Cycling, <10 mph, leisure bicycling",236.95,281.6,326.86,372.36,1.57245445175784
"Cycling, <10 mph, leisure bicycling",236.77,280.57,326.1,372.15,1.28810397293838
"Cycling, <10 mph, leisure bicycling",235.14,281.42,327.57,371.43,1.73995328937783
"Cycling, <10 mph, leisure bicycling",236.4,280.7,326.49,371.15,0.86485893561682
"Cycling, <10 mph, leisure bicycling",236.09,280.19,326.59,372.56,0.67297534413546
"Cycling, <10 mph, leisure bicycling",235.37,280.62,327.3,371.82,0.85757077412254
"Cycling, <10 mph, leisure bicycling",235.39,280.74,326.7,372.01,0.00916556850867
"Cycling, <10 mph, leisure bicycling",236.29,281.37,326.39,372.56,0.22447547325777
"Cycling, <10 mph, leisure bicycling",236.14,281.45,326.26,371.64,1.71519709203219
"Cycling, <10 mph, leisure bicycling",236.0,281.92,326.57,372.17,1.64412053929193
"Cycling, <10 mph, leisure bicycling",236.41,281.12,327.94,372.88,1.06314277806705
"Cycling, <10 mph, leisure bicycling",235.0,281.01,327.79,372.13,1.52327548254257
"Cycling, <10 mph, leisure bicycling",236.47,280.8,326.25,371.78,0.02156465661883
"Cycling, <10 mph, leisure bicycling",235.35,280.03,327.58,371.85,1.13551941246249
"Cycling, <10 mph, leisure bicycling",236.72,281.77,327.31,372.63,0.02824722040949
"Cycling, <10 mph, leisure bicycling",235.76,281.24,327.37,371.7,0.73144701698403
"Cycling, <10 mph, leisure bicycling",235.31,280.27,326.34,371.4,-0.05541724042207
"Cycling, <10 mph, leisure bicycling",236.42,281.04,326.75,371.91,0.19676115939499
"Cycling, <10 mph, leisure bicycling",235.36,281.42,327.59,371.47,0.4814829421106
"Cycling, <10 mph, leisure bicycling",235.62,280.37,327.06,371.67,1.31456836660082
"Cycling, <10 mph, leisure bicycling",236.11,281.1,326.67,372.72,1.40664305311542
"Cycling, <10 mph, leisure bicycling",235.59,281.44,326.41,371.52,-0.10511660878393
"Cycling, <10 mph, leisure bicycling",235.92,280.08,326.99,372.89,1.18628339322509
"Cycling, <10 mph, leisure bicycling",235.59,281.31,327.36,371.67,0.87168280623237
"Cycling, <10 mph, leisure bicycling",235.24,280.25,326.72,372.92,0.03844227884275
"Cycling, <10 mph, leisure bicycling",236.97,280.4,326.39,372.64,1.78934432097141
"Cycling, <10 mph, leisure bicycling",235.65,281.42,326.79,372.63,0.2857159751241
"Cycling, <10 mph, leisure bicycling",235.71,281.22,326.44,371.96,1.61079296770086
"Cycling, <10 mph, leisure bicycling",236.05,280.49,326.9,372.87,0.47858815280581
"Cycling, <10 mph, leisure bicycling",235.3,280.84,326.78,371.14,1.78506676698297
"Cycling, <10 mph, leisure bicycling",235.08,281.35,327.95,372.17,0.42226379885901
"Cycling, <10 mph, leisure bicycling",236.01,281.02,326.07,372.66,1.73851367439454
"Cycling, <10 mph, leisure bicycling",236.35,280.64,326.38,371.48,-0.02274926096242
"Cycling, <10 mph, leisure bicycling",236.94,281.94,326.59,371.49,1.26001886093761
"Cycling, <10 mph, leisure bicycling",236.85,280.36,326.29,371.95,1.09001968503483
"Cycling, <10 mph, leisure bicycling",236.27,280.4,327.97,371.13,1.27460250451424
"Cycling, <10 mph, leisure bicycling",236.51,280.94,327.11,371.17,1.04892194400535
"Cycling, <10 mph, leisure bicycling",236.32,281.46,326.41,371.33,1.31922045720221
"Cycling, <10 mph, leisure bicycling",236.35,281.81,326.63,371.33,1.01790714092563
"Cycling, <10 mph, leisure bicycling",236.91,281.13,326.47,372.95,1.06668071588734
"Cycling, <10 mph, leisure bicycling",236.23,280.4,326.21,371.97,0.96125638746733
"Cycling, <10 mph, leisure bicycling",236.22,280.06,326.17,371.79,0.88547447078731
"Cycling, <10 mph, leisure bicycling",236.1,280.08,327.84,371.14,0.57544506365719
"Cycling, <10 mph, leisure bicycling",235.98,281.7,326.8,371.91,0.47351597299795
"Cycling, <10 mph, leisure bicycling",235.02,280.16,326.48,372.41,1.42400308952849
"Cycling, <10 mph, leisure bicycling",236.49,281.32,326.18,371.04,0.91029980709307
"Cycling, <10 mph, leisure bicycling",236.89,281.02,327.19,371.2,0.74733654600498
"Cycling, <10 mph, leisure bicycling",235.73,281.78,327.95,371.24,0.21708393334808
"Cycling, <10 mph, leisure bicycling",235.52,281.56,327.97,372.58,0.11211866488917
"Cycling, <10 mph, leisure bicycling",236.83,280.41,326.55,372.93,0.88903280537815
"Cycling, <10 mph, leisure bicycling",236.22,280.81,327.31,371.79,0.00836742793784
"Cycling, <10 mph, leisure bicycling",236.96,280.7,326.22,372.32,0.20638218240902
"Cycling, <10 mph, leisure bicycling",235.23,281.43,326.85,371.32,1.34667196524097
"Cycling, <10 mph, leisure bicycling",236.22,280.41,326.72,372.64,-0.09148638604196
"Cycling, <10 mph, leisure bicycling",236.96,281.05,326.19,371.69,0.49135667992578
"Cycling, <10 mph, leisure bicycling",236.8,280.61,326.49,371.25,-0.0694405272507
"Cycling, <10 mph, leisure bicycling",236.2,281.8,327.88,372.26,0.48248385107002
"Cycling, <10 mph, leisure bicycling",236.6,280.13,327.07,371.42,0.29119577903773
"Cycling, <10 mph, leisure bicycling",236.62,280.79,327.4,372.25,0.56744922169832
"Cycling, <10 mph, leisure bicycling",236.09,280.37,327.52,371.26,-0.10166516219343
"Cycling, <10 mph, leisure bicycling",236.65,280.46,327.28,372.7,1.41179434631643
"Cycling, <10 mph, leisure bicycling",236.05,280.59,327.33,371.87,1.33881446135622
"Cycling, <10 mph, leisure bicycling",236.88,281.71,326.43,371.61,-0.02539416624681
"Cycling, <10 mph, leisure bicycling",235.81,280.07,326.69,371.19,0.19912764782774
"Cycling, <10 mph, leisure bicycling",236.85,281.06,327.12,372.76,0.63655584010323
"Cycling, <10 mph, leisure bicycling",236.59,280.51,327.87,371.1,0.17088861841557
"Cycling, <10 mph, leisure bicycling",235.44,281.82,326.45,372.41,1.072432623492
"Cycling, <10 mph, leisure bicycling",236.2,281.7,327.73,371.22,0.39113499228381
"Cycling, <10 mph, leisure bicycling",236.99,281.74,326.78,371.31,-0.05101284214941
"Cycling, <10 mph, leisure bicycling",236.45,281.12,326.25,372.88,0.77739657466384
"Cycling, <10 mph, leisure bicycling",236.62,280.97,327.28,372.25,1.79478283224522
"Cycling, <10 mph, leisure bicycling",236.4,280.75,327.69,372.71,1.61757829234165
"Cycling, <10 mph, leisure bicycling",236.29,280.88,327.76,371.49,0.60428009825898
"Cycling, <10 mph, leisure bicycling",235.9,280.33,327.07,371.74,1.73959779920897
"Cycling, <10 mph, leisure bicycling",235.09,280.05,326.57,371.1,0.85760463213985
"Cycling, <10 mph, leisure bicycling",235.04,280.45,326.04,372.14,1.16628703038556
"Cycling, <10 mph, leisure bicycling",236.08,281.09,327.2,371.73,0.28105231787156
"Cycling, <10 mph, leisure bicycling",236.91,281.45,327.31,371.66,0.33010766095145
"Cycling, <10 mph, leisure bicycling",236.95,280.72,327.92,371.86,0.97970636635016
"Cycling, <10 mph, leisure bicycling",236.14,281.99,327.53,371.07,0.59355702181513
"Cycling, <10 mph, leisure bicycling",236.03,281.68,326.01,371.64,0.93625114764629
"Cycling, <10 mph, leisure bicycling",236.45,281.68,327.23,372.2,1.25005865707974
"Cycling, <10 mph, leisure bicycling",236.6,281.81,327.96,372.6,1.72594790971446
"Cycling, <10 mph, leisure bicycling",236.63,281.83,326.94,371.15,0.60968359309648
"Cycling, <10 mph, leisure bicycling",235.99,280.95,327.55,372.82,1.57739339095678
"Cycling, <10 mph, leisure bicycling",236.23,281.33,327.47,371.44,0.82473421387923
"Cycling, <10 mph, leisure bicycling",236.81,280.74,326.67,372.22,1.25736077506276
"Cycling, <10 mph, leisure bicycling",235.67,280.21,326.91,372.28,1.82204934428262
"Cycling, <10 mph, leisure bicycling",235.81,280.44,326.8,371.01,0.36935435079637
"Cycling, <10 mph, leisure bicycling",236.06,281.08,327.18,372.75,1.55970734156245
"Cycling, <10 mph, leisure bicycling",236.29,280.64,326.11,371.55,-0.12288191237582
"Cycling, <10 mph, leisure bicycling",236.74,280.2,326.65,371.39,-0.05560360499729
"Cycling, <10 mph, leisure bicycling",236.28,280.52,326.49,371.19,0.33839547044884
"Cycling, <10 mph, leisure bicycling",236.8,280.89,326.14,372.37,1.36054797381189
"Cycling, <10 mph, leisure bicycling",235.73,280.06,326.68,371.65,1.53043287744427
"Cycling, <10 mph, leisure bicycling",235.15,281.25,326.65,372.0,0.61438013740411
"Cycling, <10 mph, leisure bicycling",236.53,280.62,326.19,371.16,0.52969163494227
"Cycling, <10 mph, leisure bicycling",236.82,281.2,326.57,371.91,0.46854211739565
"Cycling, <10 mph, leisure bicycling",235.21,281.5,326.66,371.86,0.63532970312535
"Cycling, <10 mph, leisure bicycling",235.78,281.67,326.09,371.01,0.71747121303966
"Cycling, <10 mph, leisure bicycling",236.31,280.89,326.3,371.22,1.17627117232083
"Cycling, <10 mph, leisure bicycling",235.47,280.02,327.06,371.76,0.70363503738123
"Cycling, <10 mph, leisure bicycling",236.09,280.98,327.43,372.11,0.21683934338302
"Cycling, <10 mph, leisure bicycling",236.63,281.47,326.47,371.02,1.53828067946586
"Cycling, <10 mph, leisure bicycling",236.16,281.36,327.64,371.01,0.11107227296085
"Cycling, <10 mph, leisure bicycling",235.38,281.11,326.97,371.67,0.21220385247544
"Cycling, <10 mph, leisure bicycling",235.73,281.86,326.24,371.68,1.47350633683811
"Cycling, <10 mph, leisure bicycling",235.92,280.86,326.38,371.19,-0.17446202094957
"Cycling, <10 mph, leisure bicycling",235.47,281.63,327.3,371.46,0.99961928651906
"Cycling, <10 mph, leisure bicycling",236.67,280.85,327.24,371.73,0.8612525423515
"Cycling, <10 mph, leisure bicycling",236.17,281.62,326.35,372.93,0.71476019708612
"Cycling, <10 mph, leisure bicycling",235.27,280.39,326.14,371.9,1.490806527658
"Cycling, <10 mph, leisure bicycling",236.57,281.21,327.33,371.65,0.66982232289215
"Cycling, <10 mph, leisure bicycling",235.49,281.34,327.25,371.99,0.88068393310352
"Cycling, <10 mph, leisure bicycling",236.01,281.31,327.4,371.95,0.8430306347977
"Cycling, <10 mph, leisure bicycling",235.46,280.18,327.52,372.94,1.39152905907639
